Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12,Errore_13,Errore_14,Errore_15,Errore_16,Errore_17
2865,/content/dataset/DATASET-6/DATASET-6/curva_1857.npy,1.0543175719011977,0.7328505169108767,0.7218603340161333,0.7153476330414705,0.8239152628309007,0.38306420206336456,0.3039620214752732,0.07723861879482599,0.69822917943793,-0.3979171898149442,-0.6227862818012165,-0.5781697574157666,-1.0051587150670935,-2.1119899843565237,-1.606362423790649,-2.216792458894977,-2.5482844157963007,-3.241061675203526,-3.379716626683195
2866,/content/dataset/DATASET-2/DATASET-2/curva_121.npy,1.0703568407643735,-0.2325694757350609,-0.2941144212120463,-0.4422856037357187,-0.6010818094199131,-0.8814309530222794,-0.7829991346861236,-0.4362491650009149,-1.3057413643111302,-1.098631374066827,-1.6307289699966956,-2.232167649990935,-2.1057142821035493,-2.7577387641890785,-2.411122442593939,-3.790214809338998,-3.966006597143692,-4.328571590820453,-4.816632141072436
2867,/content/dataset/DATASET-6/DATASET-6/curva_2293.npy,1.381807963492894,-0.3633657045828373,-0.37692743009932167,-0.8220487976238287,-0.6642082568798101,-0.9619795787163068,-1.2859598840891135,-1.2554718828325895,-1.677662546525789,-2.1453350275999714,-2.0734716856455733,-3.482562573374231,-4.01662884552657,-5.683254485238746,-6.702212833968388,-6.362151703937357,-8.781832700096045,-12.259138491399693,-14.204055569859165
2868,/content/dataset/DATASET-1/DATASET-1/curva_2628.npy,1.15792398311642,0.17346823156530966,0.1371265719874763,0.1655616042123986,0.15386638458621768,-0.9343655655597585,0.5016138568865164,-0.4966802071200965,-0.23707927569951698,-0.9940153036883608,-0.6964049084826933,-2.284792809226488,-2.0936953913557392,-3.2100741112710627,-3.998389566566772,-4.938207532442481,-5.476990652087333,-8.979194175743565,-10.13205868646451
2869,/content/dataset/DATASET-3/DATASET-3/curva_915.npy,1.0799097646310811,-0.8591479082359897,-0.8468065080484191,-0.7251587172907913,-0.8352047087665437,-0.8668971595165574,-1.4344249470329968,-0.6460545368398691,-0.9975415881568954,-2.007118902069815,-1.852509196321055,-1.4523299122425135,-2.2617071959212827,-3.242936821389049,-3.875571566245642,-3.334603178417302,-4.530151484244355,-4.856867424630336,-5.529826977076549
2870,/content/dataset/DATASET-3/DATASET-3/curva_968.npy,1.1137828177714328,-0.4333412869478888,-0.3599180204663097,-0.4773952468368363,-0.8593460759420302,-1.2478472022901872,-1.0256080324325332,-0.8598812309455404,-1.0613563866670044,-1.2079460452284778,-2.192652657887113,-1.67338105488124,-2.700450537617731,-3.1228483818882142,-5.103874470781653,-3.4376158518527564,-5.227923400595283,-6.444287911173349,-8.149484408157637
2871,/content/dataset/DATASET-7/DATASET-7/curva_1261.npy,1.1884182785922834,0.536262232633244,0.11640803539320688,-0.47533601094624917,-0.030725502573079076,0.11257622386449669,0.38266878203740473,-0.4550735520771533,-1.0371477913127438,-0.6020465953197236,-1.699088217437315,-2.059539305062112,-2.6963021214037965,-3.8620154234312047,-6.250578149128779,-7.055539435924424,-6.714949570359434,-11.121653199418951,-13.229711271742566
2872,/content/dataset/DATASET-3/DATASET-3/curva_2553.npy,1.332537776253996,1.6885904061300603,1.4621483801792539,1.44368376491525,0.9492185445315198,0.30236657201259504,-0.5048699075087816,-1.5883957173661534,-1.2800974754920738,-3.7750749368334278,-3.292203777196863,-2.0483829206823105,-3.7325633807604888,-5.124297972146668,-8.28659593300503,-9.879580517113608,-11.57329744999771,-12.25945829822886,-16.136401281252763
2873,/content/dataset/DATASET-3/DATASET-3/curva_2665.npy,1.0737077922697031,-0.3120244802518307,-0.4156337767566337,-0.3655944390640547,-0.6371524955590158,-0.5317445807479785,-0.3551913196014529,-0.2867661058895904,-1.2358037243994546,-0.7887915623895557,-1.1552433884115796,-2.0206452556815506,-2.321791693572279,-2.648718327185698,-3.207355850003493,-3.690540224616548,-4.00187883290927,-4.615862727681249,-4.714864452599095
2874,/content/dataset/DATASET-7/DATASET-7/curva_888.npy,1.073617777853434,-0.040002406924516586,-0.05501435650259619,-0.03691563031008897,-0.6328744836416473,-0.7066795345628716,0.13336784508150046,-0.5051729806109567,-0.5038072485117675,-1.4935966044948834,-2.2007016229718386,-1.3058028890998683,-1.928587829843143,-2.4668084155667027,-3.138015776509685,-3.0366184957796385,-4.133201439811549,-4.8502996199898885,-5.202714019145708
