Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12,Errore_13,Errore_14,Errore_15,Errore_16,Errore_17
1757,/content/dataset/DATASET-1/DATASET-1/curva_272.npy,1.3922707372239116,-4.022400782692219,-4.215533968476612,-5.480889221019867,-6.1652815292673475,-5.8624788024125065,-8.389624263472102,-9.887122056419916,-10.192943493513921,-9.66526171957877,-14.292049096737136,-12.193176431184325,-17.93136471923992,-18.484413758232233,-23.713515894331884,-22.445044335604386,-33.49138227421048,-32.996622160966965,-38.97636563528813
1758,/content/dataset/DATASET-5/DATASET-5/curva_1921.npy,1.2441373780096798,0.16642823278721397,-0.08206196014997225,-2.0949435944292314,-2.9717731637128866,-2.330794015506175,-2.974022888748986,-4.818110975490737,-5.6503614928653505,-7.112368773665738,-7.165396659758187,-11.133432972456134,-10.120424698097647,-14.009375125723745,-18.344537678603164,-21.984844484607148,-24.97789842961864,-29.753320274627036,-35.297247743483844
1759,/content/dataset/DATASET-2/DATASET-2/curva_1934.npy,1.1609666574099182,0.7845341377518738,0.5346497497323678,0.17893425360402854,-3.3647058262895784,-2.574385195490499,-3.320401223494466,-3.57435018448651,-3.6089955374160794,-5.840227921526776,-9.722142011196505,-12.487712048241537,-12.883436640292633,-12.951411416242117,-18.06019985581925,-23.19267386812061,-26.66677847447325,-30.624109839826257,-35.93058269773293
1760,/content/dataset/DATASET-7/DATASET-7/curva_247.npy,1.3089372523290723,-2.0716568767980696,-2.339241569827212,-6.222419370630298,-5.266385124492781,-4.97330319913033,-9.298068361603383,-4.490524396232757,-7.323133753606252,-11.780757961114684,-12.54761547672806,-11.059062820586119,-13.877741319284898,-17.079272639379447,-19.11256048789472,-24.00987719046813,-24.888919280203545,-30.796245477928093,-36.527181353680334
1761,/content/dataset/DATASET-5/DATASET-5/curva_2107.npy,1.1731955436086088,1.1857414677788847,0.5961602579503705,-0.07154157784489554,-1.5292090039892032,0.9277339450422105,-0.5983726217825276,-5.838112694337197,-1.9238174367118852,-5.444664246855002,-6.241121521374206,-11.486142795290464,-13.843208102230761,-13.547270189375881,-17.96781239607029,-18.534481914221008,-27.77615343383649,-26.253460539920106,-32.262532776088754
1762,/content/dataset/DATASET-1/DATASET-1/curva_173.npy,1.1509613931067268,-2.8071422244558986,-3.104967115652676,-3.943657367826351,-4.195088406106984,-5.914831523089878,-5.124069664401362,-6.459974263438973,-8.948851303266425,-7.7732085323132765,-10.865574183223455,-8.997069429503156,-14.88167836247069,-20.17851246199625,-21.7694756796844,-21.14267824579441,-26.752512967994903,-31.564526314008273,-32.200020720423076
1763,/content/dataset/DATASET-4/DATASET-4/curva_2070.npy,1.3568440804085242,-2.0158462415767615,-2.2633650177619735,-3.2480126873782296,-4.058759940210521,-4.113684893147725,-2.4881539116712053,-3.548090946924571,-6.612911112318814,-9.075226599463749,-8.557728826311305,-13.323529117376534,-13.255272326415978,-15.928055167982166,-16.946183855165124,-24.64651769784215,-22.47192499484277,-34.38155506019635,-38.76896821545478
1764,/content/dataset/DATASET-3/DATASET-3/curva_822.npy,1.2695187508897712,0.6754406424855453,0.1700380232767021,-0.9394655717649454,-1.660562612549952,-2.4929789137045253,-1.7179647100661457,-2.7990441441932745,-5.413904056183806,-4.973969927662656,-8.502807017957288,-9.406429589725567,-10.680085558744155,-11.980368645003052,-13.406668697738416,-18.551172659850916,-25.013021636920868,-27.42689998123225,-35.57292849978857
1765,/content/dataset/DATASET-1/DATASET-1/curva_2968.npy,1.1691036705816265,-0.9230322901007334,-2.0280130726921746,-2.312056225997925,-3.4068298560974144,-3.456383679604258,-5.513340233966982,-7.47255732373283,-5.281631475611201,-5.684804387866372,-12.184586976292058,-12.630973911745066,-14.747858162397334,-16.658275254415532,-21.176248241058545,-27.763568411319323,-25.845868661274423,-36.4890045884708,-37.3324609429758
1766,/content/dataset/DATASET-3/DATASET-3/curva_334.npy,1.1898009511324985,3.0623619570312495,2.4755685494078086,1.8818692664185808,0.3776551998185496,-0.06307683658329416,-1.505297300899389,-3.4836164125257287,-2.7873561132914975,-3.0933669695573642,-6.534542275474789,-7.693632396213343,-10.680634351492808,-13.497595937589358,-17.008300011914198,-17.484416517218392,-25.144319613503946,-26.991784897081565,-32.337370027157554
