Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8
2511,/content/dataset/DATASET-6/DATASET-6/curva_1972.npy,1.1033101192781816,-0.635338660912323,0.5294938610896143,0.861414081072357,2.3543419611470795,2.9035878095390957,2.140625100754545,2.861449500361599,3.514420417498222,2.970058291092931
2512,/content/dataset/DATASET-1/DATASET-1/curva_2789.npy,1.434352175512597,-0.44208086762192583,0.4728294072008108,1.338422092084972,3.0898364834088214,4.496692626725684,6.523135276601494,8.027895230076162,9.056467008100778,10.753078536590962
2513,/content/dataset/DATASET-4/DATASET-4/curva_2146.npy,1.2784407185951006,-0.4862774685054789,0.3768061051267633,1.8066379458870057,2.1715648985411917,3.743895044965305,3.3426208605693466,4.32677484388224,3.4505249564430756,5.267532209307444
2514,/content/dataset/DATASET-5/DATASET-5/curva_82.npy,1.1284001736305829,-0.28974829370290345,1.0612126406726248,1.3346206465973238,1.5474520873762645,0.844218805985866,1.6338059142861752,2.9773294747756527,1.5780256101407961,2.7671602757854687
2515,/content/dataset/DATASET-3/DATASET-3/curva_222.npy,1.0644128874111292,0.9223436896865371,0.726620623118218,2.1088895818041355,2.563086707272102,3.15419814315422,3.7096726599575787,3.7043752800945198,4.63985000567924,5.23288776151156
2516,/content/dataset/DATASET-4/DATASET-4/curva_130.npy,1.1230289080396794,0.9109214791501443,1.8666093229804943,2.3378719575403424,2.557156206228002,2.531255655990908,3.232842118027997,2.974473514433378,2.4829999587049123,3.134674786637568
2517,/content/dataset/DATASET-2/DATASET-2/curva_1576.npy,1.3056786027104803,-0.8891036192283701,0.22374159816296763,1.6610875434071124,2.5388153576228976,2.3365479240274025,4.212940377655594,3.5502803464936803,4.288245143941395,4.38181003784257
2518,/content/dataset/DATASET-3/DATASET-3/curva_2482.npy,1.2888380273509938,-1.548888722901232,-0.5852532342676947,0.8434216567454498,1.5648533625970074,3.2255022424657254,2.8599119759782687,4.773364407019258,3.674873226299825,3.2691037330345125
2519,/content/dataset/DATASET-7/DATASET-7/curva_2296.npy,1.1030675738008746,-0.8195376955602813,0.07126750554207797,1.0859217337302944,1.9275547643928064,1.9906032132600744,2.3939446957119386,2.282199587503582,2.6405620428410193,3.453210510620087
2520,/content/dataset/DATASET-6/DATASET-6/curva_1685.npy,1.2710316565315884,0.5754324292563004,1.6805903812823093,2.856240442270311,3.5700340086169633,4.00095876092773,3.413780877256292,3.829324168856886,3.9684513567683024,4.16285801384177
2521,/content/dataset/DATASET-7/DATASET-7/curva_511.npy,1.045785595874256,0.7395521563709305,0.8511029476752138,1.76669488096181,3.1228588645151696,3.4585371500586533,3.4803206736824506,4.85015207995948,5.914318815398134,4.780219103804588
2522,/content/dataset/DATASET-1/DATASET-1/curva_560.npy,1.2738210478369072,-0.22875145781742134,1.1329334112033396,2.521720211309735,3.890012111872781,4.683829170715267,6.489214577247108,7.031159614943613,7.117968148351881,8.74986750568984
2523,/content/dataset/DATASET-1/DATASET-1/curva_2585.npy,1.3373065587321182,0.16232193715259388,1.2139757297861016,2.618361777916557,4.233246170280141,5.217633912876249,6.511128142498186,7.4511769859575265,7.736785817550203,8.498106287931106
2524,/content/dataset/DATASET-4/DATASET-4/curva_1346.npy,1.1178772314304122,0.42791145093920063,1.2792637608085746,1.3172912216590058,1.3860733648124783,2.2162578368276438,2.418189412448443,2.4184026904117095,2.369391414453049,3.117207937054661
2525,/content/dataset/DATASET-3/DATASET-3/curva_2140.npy,1.0833449514380995,0.5887688100624947,1.148775034835584,2.1789743348376702,3.2298388020590414,4.568056931029302,4.4951236358592155,4.053804574891882,5.011488724747489,4.506127452269911
2526,/content/dataset/DATASET-2/DATASET-2/curva_1247.npy,1.0760766091339171,-0.3928403365658852,0.7240578907994536,1.814867094901101,2.1662325092766856,1.968243964151975,3.2840280661045975,2.900225853378232,4.25235733763581,4.471571601899898
2527,/content/dataset/DATASET-1/DATASET-1/curva_1838.npy,1.2066934444774065,-1.0382860695167273,-0.004705190541921491,0.4744462449990254,0.5705689506155652,0.5973805665501273,1.1743341383298969,0.48740749780158454,0.7061681548594115,1.4584345255981856
2528,/content/dataset/DATASET-5/DATASET-5/curva_2093.npy,1.0546972377618944,0.3154619688083616,0.5610470856193082,1.5617318387883596,1.8480405921912542,3.3371716277141834,3.5637229937560932,3.7902969652027165,3.4701705263479465,4.459733420397798
2529,/content/dataset/DATASET-1/DATASET-1/curva_842.npy,1.2866668550995808,2.935421401140983,3.8544322392810497,5.448340503559061,6.286912877944671,7.550691754927268,8.195070372080279,9.907329354625906,9.577107317637154,11.321256324629086
2530,/content/dataset/DATASET-5/DATASET-5/curva_2899.npy,1.404116017769795,0.6439073958943016,1.3269439570876256,2.318184083691879,4.029341281878556,4.97898046444354,7.867342499078582,9.505248075801827,11.117072407609022,13.02990079451178
